date,event,close,url
23-Jun-20,GE2020: A new four-member Sengkang GRC created,0,https://www.straitstimes.com/politics/singapore-ge2020-15-ways-the-general-election-on-july-10-will-differ-from-past-polls
27-Jun-20,WP's candidates includes an economics professor and social activist,0,https://www.businesstimes.com.sg/government-economy/economics-professor-activist-among-wps-second-batch-of-ge-candidates
30-Jun-20,Nomination Day: WP to contest Sengkang GRC,0,https://www.businesstimes.com.sg/government-economy/ge2020-wp-to-contest-pap-at-sengkang-grc
2-Jul-20,WP tackes jobs and productivity issues in second online rally,0,https://www.straitstimes.com/politics/wp-tackles-jobs-and-productivity-issues-in-second-online-rally
4-Jul-20,PM joined PAP Sengkang team in Facebook live session,0,https://www.straitstimes.com/politics/singapore-ge2020-what-are-the-election-rallies-to-catch-online-today
7-Jul-20,Ng Chee Meng in Chinese Media Group's live show; WP Sengkang GRC team appeals to generation of young adults,0,https://mothership.sg/2020/07/workers-party-sengkang-grc-broadcast/
11-Jul-20,WP won Sengkang GRC with 52.13% of votes,0,https://www.straitstimes.com/politics/ge2020-results-wp-projected-to-win-sengkang-grc-with-53-of-votes-based-on-sample-count
13-Jul-20,WP ready to work with NCMPs from other parties,0,https://www.straitstimes.com/politics/wp-ready-to-work-with-ncmps-from-other-parties-as-constructive-opposition
19-Jul-20,WP to run new Sengkang Town Council on its own,0,https://www.asiaone.com/singapore/new-sengkang-town-council-be-run-its-own-wps-he-ting-ru-be-chairman
