date,event,close,url
23-Jun-20,A new 4 members Sengkang GRC created,0,https://www.straitstimes.com/politics/singapore-ge2020-15-ways-the-general-election-on-july-10-will-differ-from-past-polls
27-Jun-20,WP announces two new candidates - Jamus Lim and Raeesah Khan,0,https://www.businesstimes.com.sg/government-economy/economics-professor-activist-among-wps-second-batch-of-ge-candidates
30-Jun-20,Nomination Day: WP to contest Sengkang GRC,0,https://www.businesstimes.com.sg/government-economy/ge2020-wp-to-contest-pap-at-sengkang-grc
2-Jul-20,WP tackles jobs & productivity issues in second online rally,0,https://www.straitstimes.com/politics/wp-tackles-jobs-and-productivity-issues-in-second-online-rally
7-Jul-20,WP Sengkang GRC team appeals to young adults generation,0,https://mothership.sg/2020/07/workers-party-sengkang-grc-broadcast/
11-Jul-20,WP won Sengkang GRC with 52.12% of votes,0,https://www.straitstimes.com/politics/ge2020-results-wp-projected-to-win-sengkang-grc-with-53-of-votes-based-on-sample-count
13-Jul-20,WP ready to work with NCMPs from other parties,0,https://www.straitstimes.com/politics/wp-ready-to-work-with-ncmps-from-other-parties-as-constructive-opposition
19-Jul-20,WP to run new Sengkang Town Council on its own,0,https://www.asiaone.com/singapore/new-sengkang-town-council-be-run-its-own-wps-he-ting-ru-be-chairman
